Parameter,ParameterValue,Mean,Variance,FanoFactor,Stationary
ρₘ,0.01,10.122222222222222,108.92352576039727,10.760831304539796,Yes
ρₘ,0.02,18.038888888888902,200.42864680322785,11.11091974887003,Yes
ρₘ,0.03,32.14444444444444,245.02929857231538,7.622757300901621,Yes
ρₘ,0.04,39.19444444444446,368.5709186840473,9.403652071315165,Yes
ρₘ,0.05,50.30000000000001,513.6301675977651,10.211335339915804,Yes
ρₘ,0.06,57.74999999999998,458.7025139664803,7.9429006747442505,Yes
ρₘ,0.07,72.80000000000001,712.5631284916201,9.787955061698076,Yes
ρₘ,0.08,78.9,955.9005586592181,12.115342948786033,Yes
ρₘ,0.09,86.54444444444442,889.4561142147733,10.277449002353269,Yes
ρₘ,0.1,101.98888888888891,1080.9272501551843,10.598480500486607,Yes
ρₘ,0.2,197.6,2054.788826815641,10.398728880645958,Yes
ρₘ,0.3,299.0777777777778,3170.306765983862,10.600275251274198,Yes
ρₘ,0.4,412.738888888889,4851.825294847923,11.755192993587901,Yes
ρₘ,0.5,495.161111111111,4684.649875853504,9.46085985093102,Yes
ρₘ,0.6,599.0833333333333,5886.546089385475,9.825921974214175,Yes
ρₘ,0.7,698.988888888889,7710.4468032278055,11.030857465394496,Yes
ρₘ,0.8,793.0999999999997,8868.827932960892,11.182483839315214,Yes
ρₘ,0.9,909.1611111111108,8630.180602110491,9.492465633030992,Yes
ρₘ,1.0,1001.0944444444444,9718.298292985713,9.707673783345053,Yes
